"id","nama","email","pekerjaan","wilayah","umur","pendapatan","status_pernikahan","tanggal_survey"
1862,Harjasa Suwarno,paulin_nurdiyanti@gmail.com,Senior Optimization Orchestrator,Gorontalo,36,5382594.00,false,2025-05-23
1863,Liman Liman Firgantoro,waluyo_winarsih77@yahoo.co.id,Regional Web Developer,Trenggalek,46,11503549.00,true,2025-12-16
1864,Rosalina Rosalina Juwita,luluh.mayasari60@gmail.com,Senior Operations Specialist,Pamekasan,23,14363336.00,true,2026-02-25
1865,Banara Banara Sihotang,hari78@yahoo.com,Lead Functionality Consultant,Tambolaka,18,9846224.00,true,2025-09-14
1866,Paris Kusuma,iriana.ramadhani74@gmail.co.id,Future Configuration Strategist,Tahuna,64,14694315.00,false,2025-11-30
1867,Lala Lala Andini,kartika.prakasa@yahoo.co.id,District Interactions Analyst,Tasikmalaya,23,24926611.00,true,2025-07-07
1868,Supriyanto Ibrani,bahuraksa_simanjuntak58@gmail.co.id,International Configuration Designer,Sidoarjo,52,18606530.00,true,2026-02-28
1869,Himawan Caturangga,rika45@yahoo.com,Regional Assurance Architect,Waingapu,55,8834112.00,false,2026-01-13
1870,Rita Rita Uyainah,labuh.yuliarti34@gmail.co.id,Product Web Developer,Magetan,25,19473971.00,true,2025-07-16
1871,Adriansyah Taswir,rini_pangestu32@yahoo.com,Central Applications Facilitator,Ende,19,4809406.00,false,2025-09-28
1872,Kemal Kemal Oktavian,farhunnisa.rahimah@yahoo.co.id,Direct Applications Assistant,Kediri,47,17949539.00,false,2025-07-13
1873,Hani Hani Padmasari,zaenab_handayani13@yahoo.com,Human Factors Director,Wates,48,20282533.00,false,2026-02-25
1874,Lasmono Lasmono Iswahyudi,naura22@gmail.co.id,Future Interactions Liaison,Cikampek,20,17063438.00,false,2025-11-07
1875,Tamba Zaki,zahra16@gmail.co.id,Product Quality Supervisor,Kolaka,18,11350689.00,true,2025-08-20
1876,Januar Ihsan,rachel_mustika@yahoo.co.id,Product Marketing Consultant,Majalengka,57,8264632.00,true,2025-08-26
1877,Garda Garda Kuswoyo,patricia.prabowo@gmail.co.id,Forward Response Analyst,Sumber,47,16736491.00,false,2025-07-13
1878,Salwa Salwa Laksita,yance.januar@yahoo.co.id,Principal Accountability Supervisor,Sidenreng,23,24668474.00,false,2026-03-02
1879,Nova Nasyiah,bakidin9@gmail.co.id,Legacy Solutions Consultant,Wonosobo,61,8902227.00,false,2025-08-08
1880,Luwar Luwar Pradana,kirana_elvina@gmail.co.id,District Applications Representative,Soe,52,18000281.00,false,2025-11-22
1881,Mandasari Ina,ika_mayasari94@yahoo.co.id,Legacy Interactions Agent,Tambolaka,27,6295536.00,true,2026-01-17
1882,Uli Uli Rahayu,clara.susanti58@gmail.co.id,Corporate Research Producer,Magelang,55,13473664.00,true,2025-09-18
1883,Opung Opung Nashiruddin,timbul_mulyani@gmail.co.id,Direct Data Administrator,Cikarang,42,13825966.00,false,2025-11-04
1884,Cahyanto Cahyanto Napitupulu,aisyah67@yahoo.com,Customer Integration Executive,Kotamobagu,59,8770400.00,true,2026-03-06
1885,Kuncara Lesmana,rizki.leilani51@yahoo.com,Chief Communications Technician,Wangi Wangi,46,10758930.00,true,2026-01-27
1886,Harini Vera,luis.rahayu@yahoo.co.id,District Identity Strategist,Bangil,25,6175276.00,true,2025-07-09
1887,Hidayanto Zakir,zahra.firgantoro@yahoo.com,Dynamic Data Architect,Sigi Biromaru,62,24655530.00,false,2025-10-04
1888,Prasasta Mahdi,melinda_firmansyah@gmail.co.id,Human Paradigm Director,Wonogiri,46,8969203.00,false,2025-11-26
1889,Siregar Nyana,prayogo.laksmiwati@yahoo.com,Corporate Marketing Strategist,Bantaeng,33,13639038.00,true,2025-10-04
1890,Cinta Maharani,jane88@gmail.co.id,Legacy Paradigm Associate,Bitung,52,7785530.00,false,2026-02-21
1891,Marsito Marsito Pangestu,zulaikha.gunarto28@yahoo.com,Lead Mobility Orchestrator,Anyer,34,18773021.00,true,2025-09-06
1892,Michelle Michelle Andriani,dacin0@gmail.co.id,Dynamic Markets Engineer,Maumere,54,4140220.00,false,2025-06-06
1893,Cinthia Ramadhani,kasiran_fernanda24@gmail.co.id,Corporate Group Director,Bitung,52,14123841.00,false,2025-07-23
1894,Kurniawan Mariadi,kanda_saputra@gmail.co.id,Legacy Paradigm Assistant,Kudus,64,18677531.00,true,2025-10-07
1895,Pranowo Kuncara,teguh_saputra13@yahoo.co.id,Central Integration Producer,Makale,46,21240187.00,false,2025-05-28
1896,Cakrabirawa Cakrabirawa Winarno,jayadi54@gmail.co.id,Future Accounts Supervisor,Banjar (Jawa Barat),54,17010703.00,true,2025-09-06
1897,Danang Danang Handoko,kartika_wastuti@yahoo.co.id,Product Brand Technician,Watan Soppeng,62,12110541.00,false,2025-05-31
1898,Salsabilla Eka,wulandari_wastuti50@gmail.com,Senior Interactions Officer,Jeneponto,25,21124143.00,true,2025-11-05
1899,Julia Julia Nurdiyanti,nasrullah95@yahoo.com,Global Functionality Developer,Boroko,27,9281554.00,true,2026-01-16
1900,Dadap Ramadan,mila_haryanti@yahoo.com,Internal Quality Technician,Tuban,41,6022307.00,false,2026-01-23
1901,Fitria Mayasari,cengkir_haikal@yahoo.com,Corporate Branding Assistant,Badung,30,6847137.00,false,2025-04-13
1902,Salwa Hasanah,kemba33@yahoo.co.id,Customer Division Agent,Soe,65,8762045.00,false,2025-09-05
1903,Firgantoro Surya,among.yanuar@gmail.co.id,Central Quality Administrator,Soreang,25,14919684.00,true,2025-09-12
1904,Prasetya Danu,hasim.palastri63@gmail.co.id,Investor Integration Planner,Slawi,53,6004021.00,true,2025-12-04
1905,Wahyudin Lurhur,aswani39@yahoo.com,Corporate Group Executive,Mbay,53,8629997.00,false,2025-11-10
1906,Ratih Ratih Mustika,caraka_iswahyudi@gmail.com,Regional Creative Executive,Surakarta,18,6711211.00,false,2026-01-23
1907,Fathonah Zahrah,hairyanto.ramadhani@yahoo.com,Customer Communications Planner,Majalengka,64,7959532.00,true,2025-09-15
1908,Cakrajiya Sirait,pardi88@gmail.co.id,Internal Division Technician,Surabaya,59,4389259.00,false,2025-08-26
1909,Julia Julia Nurlaela,cakrabuana.putra@yahoo.co.id,Forward Mobility Director,Bungku,44,23319273.00,true,2025-07-08
1910,Aurelia Almira,maras.nugroho@gmail.com,Customer Assurance Producer,Bantaeng,39,5275686.00,false,2025-10-13
1911,Darmanto Sinaga,jarwa_supriyanto13@yahoo.co.id,Customer Directives Associate,Pemalang,54,3533335.00,false,2026-03-07
1912,Damayanti Nadia,tirtayasa_fernanda74@yahoo.co.id,Customer Infrastructure Technician,Tondano,50,24210111.00,true,2025-05-09
1913,Nugraha Cecep,yusuf.hariyah@gmail.com,Global Directives Associate,Jepara,46,16882407.00,false,2026-02-26
1914,Shakila Rahayu,dwi_saputri@gmail.com,Chief Factors Executive,Dompu,23,19192817.00,true,2025-12-11
1915,Antoni Tirtayasa,jaeman.gunarto@yahoo.co.id,Future Optimization Consultant,Tegal,58,10342342.00,false,2026-01-14
1916,Kenari Kenari Adriansyah,dina_abiputra85@gmail.com,National Interactions Agent,Bantul,23,16831546.00,true,2025-04-21
1917,Caket Rayhan,mustika69@gmail.com,Customer Assurance Coordinator,Singaparna,44,6399984.00,true,2025-08-25
1918,Rosa Rosa Yuliarti,bakda_haryanto18@yahoo.co.id,Global Security Analyst,Indramayu,30,15776557.00,true,2025-11-19
1919,Prabowo Prabowo Saptono,fitri_sinaga@yahoo.com,Direct Division Administrator,Pekalongan,48,12518300.00,true,2025-09-26
1920,Dyah Laksmiwati,pia_pratiwi16@gmail.co.id,Legacy Infrastructure Manager,Kediri,59,17796426.00,false,2026-03-12
1921,Afifah Jasmin,rachel.afifah13@yahoo.co.id,Central Interactions Facilitator,Palopo,22,19018510.00,true,2025-11-24
1922,Imam Imam Marpaung,dwi.yolanda@gmail.co.id,Customer Accounts Producer,Mataram,32,9681722.00,false,2025-06-11
1923,Dwi Gunarto,cakrawala_sudiati@gmail.com,Corporate Web Strategist,Tulungagung,34,10443383.00,true,2025-04-25
1924,Oktovian Jaiman,suci.sudrajat@gmail.co.id,District Brand Director,Watan Soppeng,47,10720480.00,false,2025-12-26
1925,Saraswati Yunita,laksana_sudiati@gmail.com,District Communications Developer,Bungku,63,8891063.00,false,2025-07-21
1926,Ningrum Ade,caket.abimanyu@gmail.co.id,National Communications Technician,Rangkasbitung,51,18632722.00,true,2025-10-05
1927,Bagus Bagus Putra,rangga13@yahoo.com,Legacy Security Associate,Sidenreng,27,14794695.00,false,2025-12-12
1928,Zaki Sitompul,perkasa82@gmail.co.id,Corporate Usability Engineer,Watan Soppeng,26,12578102.00,true,2025-07-22
1929,Vanya Vanya Hassanah,jatmiko_zulaika@yahoo.com,Internal Accounts Agent,Kuningan,27,4041540.00,true,2025-04-21
2054,Diah Diah Aurelia,adinata.yudhistira@gmail.co.id,Corporate Response Analyst,Sragen,47,19054136.00,false,2025-12-31
1930,Jumari Jumari Bagaskara,ajimin_laksmiwati85@gmail.com,Principal Applications Officer,Banjarnegara,37,24098137.00,true,2025-06-18
1931,Salsabila Kahyang,karsa.nababan@yahoo.co.id,Dynamic Applications Strategist,Wates,25,18339994.00,false,2026-03-10
1932,Candra Mansur,ganjaran_irfandi21@yahoo.co.id,Future Division Executive,Cilegon,65,11611368.00,true,2025-05-15
1933,Mala Mala Afifah,prita.damayanti13@yahoo.com,Legacy Usability Associate,Sampang,22,14382784.00,false,2025-11-10
1934,Harsanto Harsanto Setiawan,diana.wulandari21@yahoo.com,Customer Security Executive,Wonosobo,52,20148443.00,true,2025-08-18
1935,Shakila Shakila Pudjiastuti,wulan92@gmail.com,Corporate Response Specialist,Kendari,41,12297242.00,true,2025-07-20
1936,Nugraha Thamrin,nilam_farida92@gmail.com,Investor Web Developer,Caruban,37,17023891.00,true,2025-11-05
1937,Najam Budiyanto,dirja.damayanti83@gmail.co.id,Future Directives Engineer,Singaparna,36,14141121.00,true,2025-06-03
1938,Karman Perdana,sarah3@yahoo.co.id,Lead Solutions Assistant,Pacitan,34,3569811.00,false,2025-07-20
1939,Hairyanto Hairyanto Santoso,ina_situmorang16@gmail.com,Product Solutions Consultant,Kota Raha,31,13870482.00,false,2026-03-03
1940,Gadang Gadang Wicaksono,pandu.yolanda41@yahoo.com,Corporate Group Liaison,Kolaka,38,10313469.00,true,2026-03-19
1941,Ramadhani Jelita,violet.anggraini51@yahoo.com,Product Interactions Technician,Malili,34,3802885.00,false,2026-02-17
1942,Belinda Anjani,shakila_damayanti6@gmail.co.id,Customer Implementation Specialist,Ampana,33,16301730.00,false,2025-09-13
1943,Ibrahim Kusumo,harsana71@yahoo.co.id,District Factors Executive,Tuban,33,18755046.00,false,2025-04-07
1944,Lalita Lalita Ramadhani,ina.nugraha@gmail.com,Direct Optimization Developer,Tabanan,57,20750306.00,false,2025-10-27
1945,Dacin Maryadi,darijan.anandya@yahoo.co.id,Senior Usability Manager,Bajawa,19,5651614.00,true,2025-07-17
1946,Cawuk Halim,reza_suwarno@gmail.co.id,Legacy Assurance Consultant,Klungkung,43,7497117.00,true,2025-08-15
1947,Dono Dono Kuswoyo,karja34@yahoo.com,Corporate Division Assistant,Pare-Pare,45,13492503.00,false,2025-06-03
1948,Kamaria Kamaria Melinda,harja.aurelia@gmail.co.id,Dynamic Research Consultant,Semarang,44,11063060.00,true,2026-01-02
1949,Vanya Purwanti,anggabaya70@gmail.com,District Configuration Orchestrator,Kwandang,28,10546328.00,false,2025-12-26
1950,Lutfan Winarno,melinda65@yahoo.co.id,Regional Research Liaison,Subang,62,16287489.00,true,2025-08-03
1951,Kasiran Nababan,wahyu_kahyang84@gmail.com,Central Branding Facilitator,Yogyakarta,25,20261037.00,false,2025-07-11
1952,Upik Perdana,farah_safitri16@gmail.co.id,District Infrastructure Developer,Purwodadi,28,19779488.00,false,2025-12-07
1953,Cinta Nurdiyanti,nadia.aqila@yahoo.co.id,Regional Usability Consultant,Kefamenanu,54,19208326.00,false,2025-03-29
1954,Noviana Noviana Wijayanti,asirwanda.aswandi96@gmail.com,Internal Security Executive,Cilacap,22,13589478.00,false,2025-08-15
1955,Padmi Puspita,galang_faresta@yahoo.co.id,Legacy Response Consultant,Sinjai,39,22415825.00,false,2025-09-11
1956,Wirda Wirda Zulaika,galiono36@gmail.co.id,Future Marketing Technician,Wonogiri,56,23245356.00,false,2025-10-01
1957,Jono Jono Marpaung,mahmud.suartini@gmail.co.id,Central Intranet Orchestrator,Boyolali,62,12531516.00,false,2025-04-08
1958,Damar Yulianto,yulia.oktaviani1@yahoo.com,National Research Developer,Dompu,48,13765337.00,false,2025-09-27
1959,Abiputra Mustika,bakijan_aswandi61@yahoo.com,Legacy Integration Producer,Bau-Bau,63,18003527.00,true,2026-01-05
1960,Alambana Alambana Oktovian,rusman92@gmail.co.id,Future Directives Facilitator,Luwuk,20,5391685.00,false,2025-06-30
1961,Rosalina Rosalina Wastuti,kusuma_ardana75@yahoo.co.id,Lead Research Technician,Semarang,26,13732143.00,false,2025-05-05
1962,Hesti Hesti Pertiwi,jamalia_hutagalung@gmail.com,Central Brand Producer,Nganjuk,55,16495900.00,true,2025-05-30
1963,Banawi Rajasa,ria_budiyanto19@yahoo.com,Dynamic Mobility Associate,Waibakul,22,4495847.00,true,2026-03-10
1964,Rahmawati Raisa,cindy35@gmail.co.id,Lead Brand Executive,Tigaraksa,42,7243276.00,false,2025-12-18
1965,Bahuwarna Bahuwarna Purwadi,reza.usamah@yahoo.com,Global Quality Associate,Sukabumi,60,3348073.00,true,2025-08-12
1966,Chelsea Chelsea Hastuti,karna_kusmawati@yahoo.com,Investor Integration Manager,Kalabahi,48,5500819.00,true,2026-03-06
1967,Balidin Balidin Setiawan,anggabaya53@yahoo.com,International Division Planner,Barru,29,18385658.00,false,2025-11-19
1968,Legawa Legawa Purnawarman,uchita_damanik76@gmail.co.id,Product Accounts Consultant,Jember,28,9838689.00,true,2025-12-08
1969,Emas Bagaskara,rachel60@yahoo.com,National Mobility Consultant,Cilacap,28,17184263.00,false,2025-06-03
1970,Muhammad Muhammad Thamrin,dwi_kuswandari@gmail.co.id,Corporate Branding Analyst,Tanjung,33,18007206.00,false,2026-02-21
1971,Cawisono Cawisono Mahardika,shania_waluyo@yahoo.com,Internal Division Producer,Magelang,47,14268669.00,true,2025-10-22
1972,Agustian Umay,imam.waskita@yahoo.com,Forward Group Engineer,Tangerang Selatan,29,6293954.00,false,2026-01-10
1973,Najam Najam Purnawarman,linda.maharani23@gmail.co.id,Global Applications Designer,Magetan,60,9500064.00,false,2025-09-24
1974,Nalar Utama,linda79@gmail.co.id,International Quality Representative,Anyer,64,23481394.00,false,2025-08-14
1975,Nada Purwanti,pandu11@gmail.com,Forward Optimization Assistant,Tomohon,18,20024273.00,false,2025-04-18
1976,Zulfa Anjani,rahmi41@yahoo.com,Investor Optimization Engineer,Polewali,34,21901212.00,false,2026-01-17
1977,Baktiono Baktiono Santoso,wulandari81@gmail.com,Regional Factors Orchestrator,Cikarang,54,24856095.00,false,2025-08-17
1978,Nabila Suryatmi,tari.pradipta47@gmail.com,Regional Applications Planner,Magelang,44,23853671.00,true,2025-09-23
1979,Opung Opung Situmorang,bagus_suwarno@gmail.com,District Functionality Director,Lumajang,32,6563481.00,true,2025-10-26
1980,Ganjaran Marpaung,artanto8@gmail.co.id,Central Operations Engineer,Kepanjen,41,5365743.00,false,2025-04-27
1981,Ozy Bagaskara,kuncara28@yahoo.com,Product Response Producer,Buol,40,16771824.00,false,2026-02-02
1982,Dwi Pratiwi,jessica85@yahoo.co.id,Principal Program Assistant,Tulungagung,27,21028744.00,true,2025-09-27
1983,Nurul Nurul Febrianti,tri62@gmail.com,Forward Marketing Producer,Brebes,52,12509154.00,false,2025-11-16
1984,Novitasari Michelle,rahmawati65@yahoo.co.id,International Directives Supervisor,Cianjur,62,12865248.00,false,2025-05-16
1985,Suartini Zalindra,irma.wicaksono@yahoo.co.id,Dynamic Usability Producer,Wanggudu,35,8609199.00,true,2025-07-10
1986,Widya Kusmawati,lili28@yahoo.co.id,Forward Applications Agent,Tahuna,28,3019128.00,true,2026-03-25
1987,Titi Titi Pertiwi,saadat.nasyidah30@yahoo.co.id,Chief Tactics Agent,Dompu,34,6003251.00,false,2025-07-28
1988,Paiman Paiman Wahyudin,rafid_kusmawati@yahoo.co.id,Human Usability Officer,Surakarta,33,4011009.00,false,2025-09-06
1989,Yunita Yunita Rahimah,humaira_nathania23@gmail.com,Customer Brand Facilitator,Bondowoso,50,7917681.00,true,2025-05-15
1990,Salimah Riyanti,safira97@yahoo.com,District Accounts Supervisor,Sinjai,21,15025611.00,false,2025-04-16
1991,Shania Harini,luwes73@gmail.com,Central Security Associate,Purwokerto,19,22739450.00,false,2026-01-20
1992,Hamzah Damanik,raihan.sitorus@gmail.co.id,Senior Accountability Agent,Pelabuhan Ratu,41,18466140.00,true,2025-12-03
1993,Paramita Paramita Mardhiyah,galang.antoni@gmail.co.id,Future Brand Assistant,Parigi,51,21948239.00,false,2025-08-21
1994,Jamil Jamil Salahudin,marwata.zulkarnain91@gmail.com,Internal Communications Administrator,Mbay,21,13480223.00,true,2025-07-26
1995,Halima Halima Pertiwi,nabila_andini@gmail.co.id,Lead Assurance Designer,Batu,57,12227812.00,true,2026-02-28
1996,Ira Purwanti,rita2@yahoo.co.id,District Integration Officer,Jeneponto,53,10563511.00,false,2025-12-13
1997,Ardana Ganjaran,azalea84@gmail.co.id,Direct Research Manager,Depok,47,23764387.00,false,2025-06-26
1998,Hesti Hesti Melani,rahayu_kurniawan@yahoo.com,National Markets Orchestrator,Slawi,26,13429134.00,true,2025-06-11
1999,Mansur Mumpuni,malika_mustika8@yahoo.com,Corporate Brand Officer,Bandung,48,9041895.00,false,2025-04-20
2000,Tarihoran Langgeng,jono_azzahra@gmail.co.id,Regional Markets Producer,Takalar,33,8940742.00,true,2025-09-10
2001,Winarno Gandewa,noviana_fernanda@yahoo.co.id,Lead Intranet Developer,Amurang,35,16775943.00,true,2025-11-29
2002,Yuliana Yuliana Aryani,dalimin29@yahoo.co.id,Legacy Quality Engineer,Wates,52,21990235.00,true,2025-05-09
2003,Rusman Firmansyah,rina_irfandi81@gmail.com,Chief Research Manager,Bantul,39,16647115.00,false,2025-04-03
2004,Lintang Azzahra,cengkal97@yahoo.co.id,Lead Program Specialist,Kefamenanu,58,16744508.00,false,2025-10-22
2005,Dalima Aryanti,zulfa66@gmail.com,Corporate Functionality Strategist,Bitung,43,20523266.00,true,2025-07-26
2006,Mustika Nova,noviana21@gmail.co.id,Principal Research Strategist,Andolo,25,4207859.00,true,2025-10-07
2007,Pradana Hartana,olga.tampubolon70@yahoo.com,Legacy Program Technician,Airmadidi,37,24960418.00,true,2025-09-29
2008,Oni Oni Hastuti,ellis.agustian@gmail.com,Customer Security Technician,Tomohon,56,9858478.00,false,2025-12-16
2009,Asirwada Abimanyu,adiarja.juwita@yahoo.co.id,National Identity Manager,Blitar,35,10255333.00,false,2026-03-17
2010,Mala Mala Nathania,kania70@gmail.com,Future Accounts Coordinator,Polewali,19,23133512.00,false,2026-02-04
2011,Winarsih Cindy,gilda62@yahoo.com,Legacy Communications Liaison,Nganjuk,49,3900867.00,true,2025-04-22
2012,Wardana Dwi,laswi_nuraini36@yahoo.com,District Intranet Facilitator,Sumbawa Besar,44,18603366.00,true,2025-09-21
2013,Kalim Kalim Himawan,wani51@yahoo.co.id,Global Branding Planner,Sidenreng,33,8018076.00,false,2025-12-03
2014,Safitri Ciaobella,cindy_irawan@yahoo.co.id,Internal Applications Supervisor,Bandung,53,16540466.00,false,2025-12-30
2015,Uda Uda Permadi,pia75@gmail.co.id,Dynamic Configuration Developer,Bantaeng,34,13167642.00,true,2025-10-25
2016,Sakura Sakura Ananda,kacung.budiyanto62@gmail.com,Chief Research Producer,Pare-Pare,33,17388374.00,false,2025-04-22
2017,Kenari Sihotang,yono.hastuti32@yahoo.co.id,District Quality Manager,Bantaeng,43,6031022.00,false,2025-08-25
2018,Panji Saragih,liman.andriani16@gmail.co.id,Global Paradigm Representative,Masamba,38,11649607.00,true,2025-11-30
2019,Dadi Haikal,clara.mulyani@yahoo.co.id,Dynamic Markets Planner,Sumbawa Besar,22,9789651.00,true,2025-06-03
2020,Widiastuti Eka,karman.permata86@yahoo.co.id,Central Data Producer,Bajawa,54,19951359.00,false,2025-08-19
2021,Jumari Sinaga,kenzie_yulianti37@yahoo.com,National Implementation Consultant,Bangkalan,47,20467110.00,false,2025-03-31
2022,Anjani Rita,balidin60@yahoo.co.id,Customer Assurance Coordinator,Larantuka,32,8049952.00,false,2025-10-08
2023,Tri Tri Aryanti,kezia_fernanda@gmail.co.id,National Applications Coordinator,Amurang,49,11377739.00,true,2026-02-21
2024,Kenari Airlangga,prita_syahreza97@yahoo.com,International Group Engineer,Baa,36,14001455.00,true,2025-11-11
2025,Aulia Widiastuti,zulfa.kuswandari18@gmail.co.id,Global Usability Facilitator,Boyolali,22,6378866.00,true,2025-05-10
2026,Fathonah Fathonah Maryati,hafshah.safitri@gmail.com,Global Integration Associate,Wonogiri,19,3763203.00,false,2025-06-29
2027,Rendra Surya,jamalia68@gmail.co.id,Dynamic Implementation Administrator,Semarang,36,5188427.00,false,2025-07-06
2028,Maheswari Siti,tri_darojat@gmail.co.id,District Interactions Technician,Rantepao,44,22669732.00,false,2025-06-10
2029,Vino Prabowo,tri.kurniawan88@gmail.co.id,Direct Metrics Designer,Sukoharjo,28,17654246.00,false,2026-01-23
2030,Wardana Taufan,devi.lazuardi55@gmail.co.id,Internal Group Assistant,Gorontalo,64,16292432.00,false,2026-03-01
2031,Ida Ida Anandya,ganda.anandya@yahoo.com,Global Integration Officer,Probolinggo,20,20857785.00,true,2026-03-08
2032,Lestari Linda,asmadi51@gmail.com,Chief Intranet Representative,Cibinong,32,20853633.00,false,2025-07-09
2033,Tami Laksita,maryanto.yanuar60@gmail.co.id,Chief Accounts Strategist,Bojonegoro,44,22966582.00,true,2025-04-07
2034,Salsabila Aurelia,cawisono43@gmail.co.id,Chief Applications Director,Makale,49,24811533.00,false,2025-11-02
2035,Amanta Melani,mursita46@yahoo.co.id,Forward Implementation Administrator,Tangerang,41,13863670.00,false,2025-10-03
2036,Dimas Pangestu,nada32@gmail.co.id,Principal Communications Director,Pelabuhan Ratu,62,4740750.00,false,2025-05-07
2037,Gatra Gatra Nugraha,dirja.darojat@yahoo.com,Principal Paradigm Representative,Wonosobo,34,6732203.00,false,2026-03-10
2038,Jaiman Jaiman Kusumo,bagas.hastuti89@gmail.com,District Markets Technician,Tasikmalaya,19,14470746.00,false,2025-06-02
2039,Mahfud Mahfud Ramadan,daliman_saefullah52@yahoo.co.id,Forward Research Technician,Atambua,54,18761017.00,true,2025-07-16
2040,Cahyono Cahyono Lazuardi,jamal.saputri@yahoo.com,Customer Accounts Assistant,Badung,19,6739650.00,true,2025-09-28
2041,Jamil Gunawan,michelle52@gmail.com,Global Directives Analyst,Banyumas,31,19775881.00,true,2025-07-02
2042,Kezia Kezia Melinda,maria.usamah@yahoo.com,Investor Accountability Consultant,Gresik,30,11687755.00,true,2025-10-17
2043,Suwarno Adiarja,kayla.suwarno@gmail.co.id,Dynamic Branding Specialist,Indramayu,43,11943459.00,true,2025-08-16
2044,Hassanah Vicky,dimaz30@yahoo.com,Chief Assurance Developer,Sampang,54,18593242.00,false,2025-12-08
2045,Gabriella Lestari,gabriella_suwarno@gmail.co.id,Direct Integration Administrator,Sidoarjo,38,6488949.00,false,2025-10-15
2046,Mandala Murti,kenes_palastri24@yahoo.com,District Functionality Orchestrator,Tuban,61,6839972.00,true,2025-05-18
2047,Bella Melinda,banawi_maryati92@yahoo.com,Corporate Group Orchestrator,Palopo,36,5872081.00,false,2025-05-31
2048,Ajiman Ajiman Gunawan,azalea.mulyani@gmail.com,Internal Solutions Administrator,Baa,18,4600473.00,true,2026-01-30
2049,Parman Parman Siregar,cager.namaga@gmail.com,Central Data Orchestrator,Watampone,42,18090312.00,true,2025-10-22
2050,Utami Eka,estiono.melani72@yahoo.com,Regional Integration Planner,Yogyakarta,30,10949185.00,true,2025-09-25
2051,Gaduh Nugroho,paiman_maharani@gmail.co.id,Corporate Optimization Architect,Jombang,46,10806515.00,false,2025-08-07
2052,Usman Satria,tina58@yahoo.co.id,Regional Integration Coordinator,Bekasi,34,8430250.00,false,2026-02-21
2053,Danu Ramadan,harja.sinaga@gmail.com,Human Quality Specialist,Suwawa,41,9482471.00,true,2026-03-04
2055,Lidya Halimah,bella.lestari@yahoo.co.id,Global Factors Executive,Tigaraksa,30,21636061.00,false,2025-05-30
2056,Hardana Winarno,bagas75@gmail.com,Lead Operations Representative,Bantul,32,13192970.00,true,2025-10-01
2057,Eko Hardiansyah,bella72@yahoo.com,District Program Engineer,Magetan,33,8617212.00,true,2025-07-18
2058,Irnanto Irnanto Wibowo,radika_oktovian@gmail.com,Global Brand Administrator,Rantepao,24,7763570.00,false,2026-03-01
2059,Kartika Sudiati,yance71@yahoo.com,District Web Architect,Singaraja,62,10851423.00,true,2025-12-08
2060,Hartati Maimunah,tantri_hartati@gmail.com,Internal Implementation Strategist,Depok,34,4339206.00,false,2025-08-30
2061,Cindy Mulyani,tri_napitupulu@gmail.co.id,Corporate Communications Liaison,Salatiga,19,21906323.00,false,2025-06-05
2062,Ade Ade Leilani,bella_satria@gmail.co.id,Product Marketing Planner,Trenggalek,40,22566970.00,false,2026-01-29
2063,Aqila Septi,marsito.handayani5@gmail.co.id,Internal Implementation Strategist,Banggai,43,14625208.00,true,2025-07-27
2064,Darmawan Cakrabirawa,aris_kahyang@gmail.com,Dynamic Quality Analyst,Donggala,59,13651197.00,false,2025-08-15
2065,Yusuf Yusuf Pratama,salimah_susanti@gmail.com,Forward Branding Coordinator,Masamba,20,6655432.00,false,2025-07-31
2066,Sudiati Aurora,jindra59@gmail.com,Principal Solutions Assistant,Tambolaka,48,8655372.00,true,2025-11-06
2067,Kirana Kirana Usada,gasti_nasyidah64@gmail.co.id,Future Research Assistant,Sengkang,44,20030258.00,false,2026-01-01
2068,Pia Nuraini,sari.sitompul19@yahoo.co.id,Human Tactics Developer,Kawangkoan,29,8326940.00,true,2025-10-01
2069,Atmaja Prasasta,eka.pertiwi@yahoo.co.id,Central Solutions Designer,Cilegon,52,7898270.00,true,2025-10-21
2070,Kayla Hastuti,pratiwi99@gmail.co.id,Regional Assurance Executive,Donggala,42,20542189.00,true,2026-01-09
2071,Utami Gina,patricia_budiman@gmail.co.id,Lead Data Architect,Suwawa,34,24227453.00,true,2025-09-02
2072,Kajen Hermawan,cahyanto.narpati1@gmail.com,District Directives Engineer,Makale,59,7854966.00,true,2025-08-23
2073,Artanto Sihombing,kani_habibi4@gmail.com,District Directives Architect,Lasusua,24,6001279.00,true,2025-07-15
2074,Salimah Salimah Pratiwi,karimah27@gmail.com,Global Marketing Consultant,Lamongan,22,18287931.00,false,2025-06-22
2075,Endah Endah Susanti,warsita_damayanti@gmail.com,Customer Creative Engineer,Trenggalek,30,14991493.00,true,2026-03-03
2076,Jarwa Hidayat,zaenab.wahyuni@gmail.co.id,Senior Branding Coordinator,Sidayu,57,6063591.00,false,2025-06-05
2077,Nugraha Galih,ade95@gmail.com,Corporate Creative Representative,Pasuruan,44,10495047.00,false,2025-12-23
2078,Bahuwarna Prayoga,karma53@gmail.com,Dynamic Usability Architect,Depok,48,15265693.00,false,2025-11-12
2079,Gibran Ahmad,marwata.putra@yahoo.co.id,Corporate Directives Coordinator,Sumber,54,22673299.00,false,2025-11-01
2080,Tri Hutasoit,eja.aurelia@gmail.com,International Web Engineer,Atambua,19,19179979.00,false,2026-02-07
